region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2,comment
DE,DE13,CH,CH,electricity,electricity_central,capaExcResi,39.10638814,expExcFix,0,values from previous computation were increased by 1/0.7 to account for n-1 criterium
DE,DE13,FR,FR,electricity,electricity_central,capaExcResi,32.14285689,expExcFix,0,
DE,DE21,AT,AT,gas,,capaExcResi,16.92525684,expExcFix,0,
DE,DE22,AT,AT,gas,,capaExcResi,16.92525684,expExcFix,0,
DE,DE22,AT,AT,electricity,electricity_central,capaExcResi,1.571356233,expExcFix,0,
DE,DE23,CZ,CZ,gas,,capaExcResi,1.121471201,expExcFix,0,
DE,DE23,CZ,CZ,electricity,electricity_central,capaExcResi,7.855535739,expExcFix,0,
DE,DE27,AT,AT,electricity,electricity_central,capaExcResi,4.7140687,expExcFix,0,
DE,DE40,PL,PL,electricity,electricity_central,capaExcResi,21.42856984,expExcFix,0,
DE,DE80,SE,SE,electricity,electricity_central,capaExcResi,14.25275459,expExcFix,0,
DE,DE94,NO,NO,gas,,capaExcResi,19.41832146,expExcFix,0,
DE,DE94,NL,NL,electricity,electricity_central,capaExcResi,10.71428429,expExcFix,0,
DE,DEA1,NL,NL,electricity,electricity_central,capaExcResi,10.71428429,expExcFix,0,
DE,DEA2,BE,BE,electricity,electricity_central,capaExcResi,16.98799514,expExcFix,0,
DE,DEA2,NL,NL,electricity,electricity_central,capaExcResi,10.71428429,expExcFix,0,
DE,DEA3,NL,NL,electricity,electricity_central,capaExcResi,10.71428429,expExcFix,0,
DE,DEC0_,FR,FR,electricity,electricity_central,capaExcResi,10.71428563,expExcFix,0,
DE,DEC0_,LU,LU,electricity,electricity_central,capaExcResi,42.85714111,expExcFix,0,
DE,DED2,PL,PL,electricity,electricity_central,capaExcResi,21.42856984,expExcFix,0,
DE,DED4,CZ,CZ,gas,,capaExcResi,1.121471201,expExcFix,0,
DE,DED4,CZ,CZ,electricity,electricity_central,capaExcResi,7.855535739,expExcFix,0,
DE,DEF0,DK,DK,gas,,capaExcResi,5.833062184,expExcFix,0,
DE,DEF0,DK,DK,electricity,electricity_central,capaExcResi,5.928590039,expExcFix,0,
