carrier_1,carrier_2,region_1,region_2,region_1,region_2,parameter_1,value_1,length
gas,hydrogen,FR,FR,CH,CH,costOprExc,2.74,522
gas,hydrogen,FR,FR,ES,ES,costOprExc,3.85,734.9
gas,hydrogen,AT,AT,HU,HU,costOprExc,2.36,451.11
gas,hydrogen,AT,AT,IT,IT,costOprExc,3.31,630.98
gas,hydrogen,AT,AT,SI,SI,costOprExc,1.08,205.94
gas,hydrogen,AT,AT,SK,SK,costOprExc,2.5,477.88
gas,hydrogen,BE,BE,FR,FR,costOprExc,2.66,506.55
gas,hydrogen,BE,BE,LU,LU,costOprExc,0.67,126.98
gas,hydrogen,BE,BE,NL,NL,costOprExc,0.94,178.45
gas,hydrogen,BE,BE,UK,UK,costOprExc,4.44,847.94
gas,hydrogen,BG,BG,RO,RO,costOprExc,2.03,388.21
gas,hydrogen,CH,CH,IT,IT,costOprExc,3.16,602.15
gas,hydrogen,CZ,CZ,PL,PL,costOprExc,1.63,311
gas,hydrogen,CZ,CZ,SK,SK,costOprExc,1.77,336.98
gas,hydrogen,DK,DK,NL,NL,costOprExc,2.78,530.36
gas,hydrogen,DK,DK,SE,SE,costOprExc,3.62,691.57
gas,hydrogen,EE,EE,LV,LV,costOprExc,1.1,209.93
gas,hydrogen,ES,ES,FR,FR,costOprExc,3.85,734.9
gas,hydrogen,ES,ES,PT,PT,costOprExc,4.64,884.35
gas,hydrogen,HR,HR,HU,HU,costOprExc,2.21,421.22
gas,hydrogen,HU,HU,HR,HR,costOprExc,2.21,421.22
gas,hydrogen,HU,HU,NONEU_Balkan,NONEU_Balkan,costOprExc,1.79,340.77
gas,hydrogen,HU,HU,RO,RO,costOprExc,2.3,439.31
gas,hydrogen,IE,IE,UK,UK,costOprExc,2.2,419.41
gas,hydrogen,IT,IT,AT,AT,costOprExc,3.31,630.98
gas,hydrogen,IT,IT,SI,SI,costOprExc,2.61,498.07
gas,hydrogen,LT,LT,LV,LV,costOprExc,1.03,196.15
gas,hydrogen,LV,LV,EE,EE,costOprExc,1.1,209.93
gas,hydrogen,LV,LV,LT,LT,costOprExc,1.03,196.15
gas,hydrogen,NL,NL,BE,BE,costOprExc,0.94,178.45
gas,hydrogen,NL,NL,UK,UK,costOprExc,3.9,744.73
gas,hydrogen,NO,NO,BE,BE,costOprExc,8.73,1665.46
gas,hydrogen,NO,NO,FR,FR,costOprExc,8.73,1665.46
gas,hydrogen,NO,NO,NL,NL,costOprExc,7.8,1487.94
gas,hydrogen,NO,NO,UK,UK,costOprExc,7.16,1366.79
gas,hydrogen,PT,PT,ES,ES,costOprExc,4.64,884.35
gas,hydrogen,SI,SI,HR,HR,costOprExc,1.09,208.32
gas,hydrogen,SI,SI,IT,IT,costOprExc,2.61,498.07
gas,hydrogen,SK,SK,AT,AT,costOprExc,2.5,477.88
gas,hydrogen,SK,SK,CZ,CZ,costOprExc,1.77,336.98
gas,hydrogen,SK,SK,HU,HU,costOprExc,0.97,184.75
gas,hydrogen,UK,UK,BE,BE,costOprExc,4.44,847.94
gas,hydrogen,UK,UK,IE,IE,costOprExc,2.2,419.41
gas,hydrogen,DE,,AT,,costOprExc,2.87,547.31
gas,hydrogen,DE,,CZ,,costOprExc,2.2,419.23
gas,hydrogen,DE,,NO,,costOprExc,7.42,1415.58
gas,hydrogen,DE,,NL,,costOprExc,2.02,384.7
gas,hydrogen,DE,,DK,,costOprExc,1.92,366.37
