region_1,region_2
AT,AT
BE,BE
BG,BG
CH,CH
CZ,CZ
DK,DK
ES,ES
FI,FI
FR,FR
GR,GR
HR,HR
HU,HU
IE,IE
IT,IT
LU,LU
NL,NL
NO,NO
PL,PL
PT,PT
RO,RO
SE,SE
SI,SI
SK,SK
UK,UK
EE,EE
LT,LT
LV,LV
NONEU_Balkan,NONEU_Balkan
TR,TR
DE,DE11
DE,DE12
DE,DE94
DE,DEA1
DE,DEA4
DE,DEA5
DE,DEB3
DE,DED2
DE,DED4
DE,DED5
DE,DEE0
DE,DEF0
DE,DEG0
DE,DE92
DE,DE93
DE,DEA2
DE,DEB1
DE,DEC0_
DE,DEA3
DE,DEB2
DE,DE21
DE,DE22
DE,DE23
DE,DE25
DE,DE26
DE,DE40
DE,DE50
DE,DE60
DE,DE71
DE,DE72
DE,DE73
DE,DE80
DE,DE91
DE,DE13
DE,DE24
DE,DE27
DE,DE14
DE,DE30
