region_1,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
AT,AT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
BE,BE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
BG,BG,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
CH,CH,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
CZ,CZ,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
DK,DK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
ES,ES,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
FI,FI,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
FR,FR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
GR,GR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
HR,HR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
HU,HU,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
IE,IE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
IT,IT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
LU,LU,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
NL,NL,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
NO,NO,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
PL,PL,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
PT,PT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
RO,RO,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
SE,SE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
SI,SI,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
SK,SK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
UK,UK,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
EE,EE,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
LT,LT,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
LV,LV,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
NONEU_Balkan,NONEU_Balkan,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
TR,TR,expStInFix,0,expStOutFix,0,expStSizeFix,0,expConvFix,0
